t,true_px,true_py,meas_px,meas_py,est_px,est_py
1.41,4.21982,33.491,4.5254,33.6355,4.28889,33.8478
1.42,4.24981,33.3521,4.47925,33.0678,4.34106,33.6637
1.43,4.27981,33.2121,3.60809,33.0347,4.27843,33.4965
1.44,4.30981,33.0712,4.38912,33.3104,4.31899,33.3832
1.45,4.33981,32.9293,4.36242,32.5733,4.35138,33.1918
1.46,4.36981,32.7864,4.21213,33.0709,4.36101,33.0844
1.47,4.3998,32.6426,4.17256,32.5092,4.36404,32.9203
1.48,4.4298,32.4977,4.49928,32.9023,4.40686,32.8245
1.49,4.4598,32.3519,4.39401,32.481,4.43149,32.6883
1.5,4.4898,32.2051,4.04436,32.0841,4.40929,32.5189
1.51,4.5198,32.0573,4.14484,31.5565,4.40127,32.3035
1.52,4.54979,31.9085,4.72679,32.0959,4.46607,32.1799
1.53,4.57979,31.7588,4.20061,32.6791,4.45793,32.1443
1.54,4.60979,31.608,4.29535,31.8126,4.46183,32.0066
1.55,4.63979,31.4563,4.37339,31.5417,4.47446,31.8517
1.56,4.66978,31.3036,4.66873,30.9411,4.52206,31.6402
1.57,4.69978,31.1499,4.8217,31.2927,4.58326,31.4968
1.58,4.72978,30.9953,4.89675,30.6629,4.64694,31.2921
1.59,4.75978,30.8396,4.6395,30.3656,4.67134,31.0739
1.6,4.78978,30.683,4.99135,30.8157,4.73651,30.9368
1.61,4.81977,30.5254,4.56809,30.3573,4.74153,30.7593
1.62,4.84977,30.3668,4.9535,29.7776,4.79347,30.5303
1.63,4.87977,30.2073,4.56807,29.7953,4.79133,30.3298
1.64,4.90977,30.0467,4.74756,30.1537,4.81116,30.1974
1.65,4.93976,29.8852,4.75414,29.9086,4.82913,30.0507
1.66,4.96976,29.7227,5.0136,30.0232,4.87701,29.9362
1.67,4.99976,29.5592,4.80769,29.6522,4.89365,29.79
1.68,5.02976,29.3947,4.80504,29.7676,4.90761,29.676
1.69,5.05976,29.2293,4.58166,28.7519,4.89163,29.4498
1.7,5.08975,29.0629,4.76092,29.0476,4.89905,29.2865
1.71,5.11975,28.8954,4.71492,28.5063,4.89937,29.0753
1.72,5.14975,28.727,5.46626,28.5337,4.99284,28.892
1.73,5.17975,28.5577,5.4804,29.0012,5.07788,28.7889
1.74,5.20975,28.3873,5.126,27.9515,5.10934,28.5684
1.75,5.23974,28.216,5.08308,28.2964,5.13157,28.4164
1.76,5.26974,28.0437,5.32061,28.2294,5.18052,28.2747
