t,true_x,true_y,true_theta,est_x,est_y,est_theta
11.8,-1.28916,6.38572,-2.71319,-1.2715,6.4552,-2.73245
11.9,-1.38012,6.34418,-2.68319,-1.34839,6.41677,-2.70174
12,-1.4698,6.29993,-2.65319,-1.44874,6.38291,-2.67199
12.1,-1.5581,6.25301,-2.62319,-1.54056,6.26675,-2.6422
12.2,-1.64496,6.20346,-2.59319,-1.64212,6.20087,-2.61153
12.3,-1.7303,6.15132,-2.56319,-1.7473,6.15457,-2.58167
12.4,-1.81403,6.09665,-2.53319,-1.80669,6.08,-2.5505
12.5,-1.89609,6.0395,-2.50319,-1.89818,6.05022,-2.52096
12.6,-1.97639,5.97991,-2.47319,-1.99192,6.02926,-2.49159
12.7,-2.05488,5.91793,-2.44319,-2.05946,5.96581,-2.46167
12.8,-2.13146,5.85363,-2.41319,-2.15859,5.95387,-2.43309
12.9,-2.20609,5.78706,-2.38319,-2.20137,5.82617,-2.40135
13,-2.27868,5.71829,-2.35319,-2.27869,5.76463,-2.37181
13.1,-2.34918,5.64736,-2.32319,-2.34882,5.6875,-2.34287
13.2,-2.41751,5.57436,-2.29319,-2.42725,5.62737,-2.31388
13.3,-2.48363,5.49934,-2.26319,-2.48799,5.48694,-2.28254
13.4,-2.54747,5.42236,-2.23319,-2.55264,5.401,-2.25176
13.5,-2.60897,5.34351,-2.20319,-2.59589,5.30135,-2.22194
13.6,-2.66808,5.26285,-2.17319,-2.6465,5.24014,-2.19211
13.7,-2.72474,5.18045,-2.14319,-2.74444,5.12346,-2.16119
13.8,-2.7789,5.09639,-2.11319,-2.77679,5.06895,-2.13156
13.9,-2.83052,5.01074,-2.08319,-2.8293,5.04379,-2.10209
14,-2.87955,4.92358,-2.05319,-2.90098,4.89148,-2.07096
14.1,-2.92594,4.835,-2.02319,-2.95059,4.8052,-2.04113
14.2,-2.96965,4.74506,-1.99319,-2.98595,4.74659,-2.01091
14.3,-3.01064,4.65384,-1.96319,-3.02361,4.6585,-1.98149
14.4,-3.04888,4.56144,-1.93319,-3.05427,4.53485,-1.95145
14.5,-3.08433,4.46794,-1.90319,-3.07106,4.48765,-1.92088
14.6,-3.11696,4.37341,-1.87319,-3.13229,4.36569,-1.89075
14.7,-3.14674,4.27795,-1.84319,-3.1958,4.22708,-1.86065
14.8,-3.17365,4.18164,-1.81319,-3.22855,4.12812,-1.83028
14.9,-3.19765,4.08456,-1.78319,-3.23355,4.09052,-1.80244
15,-3.21873,3.98681,-1.75319,-3.26204,3.99157,-1.77241
15.1,-3.23687,3.88847,-1.72319,-3.28896,3.89661,-1.7416
15.2,-3.25205,3.78962,-1.69319,-3.2902,3.80963,-1.71223
15.3,-3.26426,3.69037,-1.66319,-3.31878,3.68675,-1.6827
15.4,-3.27348,3.5908,-1.63319,-3.33642,3.58362,-1.65183
15.5,-3.27972,3.49099,-1.60319,-3.35401,3.4673,-1.62126
15.6,-3.28295,3.39105,-1.57319,-3.35739,3.35159,-1.5918
15.7,-3.28319,3.29105,-1.54319,-3.31088,3.2645,-1.56233
15.8,-3.28043,3.19108,-1.51319,-3.33595,3.17099,-1.53311
15.9,-3.27467,3.09125,-1.48319,-3.36388,3.07961,-1.50184
16,-3.26592,2.99163,-1.45319,-3.37898,2.96689,-1.4715
16.1,-3.25419,2.89232,-1.42319,-3.33325,2.87334,-1.44154
16.2,-3.23948,2.79341,-1.39319,-3.25177,2.80212,-1.41094
16.3,-3.22182,2.69499,-1.36319,-3.23708,2.69254,-1.38192
16.4,-3.2012,2.59713,-1.33319,-3.22414,2.6168,-1.35175
16.5,-3.17766,2.49994,-1.30319,-3.20541,2.5002,-1.32194
16.6,-3.15122,2.4035,-1.27319,-3.19142,2.41137,-1.29122
16.7,-3.1219,2.3079,-1.24319,-3.17845,2.29703,-1.26067
16.8,-3.08972,2.21322,-1.21319,-3.11608,2.22919,-1.22977
16.9,-3.05472,2.11954,-1.18319,-3.06925,2.14729,-1.19892
17,-3.01692,2.02696,-1.15319,-3.02395,2.06212,-1.16837
17.1,-2.97636,1.93556,-1.12319,-2.96463,1.95964,-1.13869
17.2,-2.93308,1.84541,-1.09319,-2.93945,1.86599,-1.10819
17.3,-2.88711,1.7566,-1.06319,-2.86728,1.78784,-1.0782
17.4,-2.8385,1.66921,-1.03319,-2.81931,1.71949,-1.04852
