t,true_px,true_py,meas_px,meas_py,est_px,est_py
1.61,1.61,0.805,1.92643,-0.322079,1.57366,0.885246
1.62,1.62,0.81,0.391703,0.771734,1.48122,0.881106
1.63,1.63,0.815,1.33517,0.665849,1.47533,0.868051
1.64,1.64,0.82,1.43435,1.31201,1.47815,0.91101
1.65,1.65,0.825,1.70178,0.958818,1.50353,0.920842
1.66,1.66,0.83,0.988844,-0.852048,1.46612,0.774975
1.67,1.67,0.835,2.23177,1.9066,1.53734,0.874495
1.68,1.68,0.84,1.50871,0.964657,1.54193,0.886886
1.69,1.69,0.845,1.85226,1.68265,1.57546,0.959793
1.7,1.7,0.85,2.14449,1.09803,1.63165,0.977828
1.71,1.71,0.855,1.73779,0.885116,1.64922,0.976334
1.72,1.72,0.86,1.00027,0.668256,1.60236,0.95624
1.73,1.73,0.865,2.1731,0.748148,1.65869,0.94415
1.74,1.74,0.87,1.76218,0.281936,1.67603,0.892832
1.75,1.75,0.875,1.97275,0.144122,1.71007,0.832946
1.76,1.76,0.88,1.90494,0.786388,1.7359,0.831815
1.77,1.77,0.885,0.898357,1.41974,1.67373,0.884879
1.78,1.78,0.89,1.69807,1.82039,1.68381,0.968704
1.79,1.79,0.895,2.52913,0.455266,1.76415,0.930194
1.8,1.8,0.9,1.40414,0.314012,1.74284,0.881986
1.81,1.81,0.905,1.01677,0.693911,1.68956,0.869318
1.82,1.82,0.91,2.54187,-0.0474536,1.77003,0.793972
1.83,1.83,0.915,2.25597,1.29917,1.82064,0.838671
1.84,1.84,0.92,2.11735,1.28659,1.85588,0.87935
1.85,1.85,0.925,1.29789,1.30579,1.81851,0.91897
1.86,1.86,0.93,1.58537,-0.299597,1.80793,0.818595
1.87,1.87,0.935,1.89871,0.512946,1.82463,0.794184
1.88,1.88,0.94,2.55941,0.796827,1.89658,0.795611
1.89,1.89,0.945,1.9128,1.13959,1.90832,0.826242
1.9,1.9,0.95,1.7663,0.898079,1.90652,0.83419
1.91,1.91,0.955,2.33179,0.421839,1.953,0.800836
1.92,1.92,0.96,1.56909,0.476444,1.93097,0.774283
1.93,1.93,0.965,2.64838,0.61415,2.00247,0.761213
1.94,1.94,0.97,1.86836,0.669698,2.00235,0.753732
1.95,1.95,0.975,1.79591,0.606285,1.99579,0.741306
1.96,1.96,0.98,2.19136,0.459575,2.02324,0.717132
1.97,1.97,0.985,1.29377,0.70579,1.97188,0.715599
1.98,1.98,0.99,1.58088,0.321078,1.94817,0.681265
1.99,1.99,0.995,1.82831,0.164941,1.94696,0.635821
2,2,1,2.86387,0.253699,2.03422,0.600958
2.01,2.01,1.005,1.68685,0.803223,2.0149,0.615427
2.02,2.02,1.01,2.86234,0.144842,2.09717,0.572691
2.03,2.03,1.015,2.10103,1.53358,2.10874,0.651603
2.04,2.04,1.02,1.88513,0.435091,2.10083,0.631473
2.05,2.05,1.025,1.99601,1.78855,2.10268,0.728481
2.06,2.06,1.03,1.75211,1.74809,2.08329,0.815755
2.07,2.07,1.035,2.19933,1.65126,2.10319,0.889062
2.08,2.08,1.04,2.18934,0.797812,2.12072,0.88454
2.09,2.09,1.045,2.90943,1.15762,2.19848,0.911022
2.1,2.1,1.05,2.18321,1.45378,2.20882,0.961047
2.11,2.11,1.055,2.57208,1.46143,2.2515,1.00839
2.12,2.12,1.06,1.44464,0.741382,2.19468,0.990946
2.13,2.13,1.065,1.80174,0.67546,2.17184,0.968877
2.14,2.14,1.07,1.70395,0.734488,2.14188,0.953186
2.15,2.15,1.075,2.31797,1.3222,2.16618,0.988699
2.16,2.16,1.08,2.15918,0.866984,2.1751,0.982867
2.17,2.17,1.085,2.80773,1.03922,2.23872,0.992047
2.18,2.18,1.09,2.64854,0.805337,2.28436,0.980523
2.19,2.19,1.095,2.39686,1.76604,2.30526,1.05184
2.2,2.2,1.1,0.895606,0.772457,2.19611,1.03342
2.21,2.21,1.105,2.50687,1.71141,2.23166,1.0964
2.22,2.22,1.11,2.32156,1.13479,2.24884,1.10584
2.23,2.23,1.115,3.03529,1.752,2.32576,1.16734
2.24,2.24,1.12,1.80571,1.17821,2.29225,1.1756
2.25,2.25,1.125,2.43008,1.9843,2.3141,1.25212
2.26,2.26,1.13,2.69304,1.07821,2.3568,1.24598
